nombre,descripcion,sare,municipio_id
Artículos magnetofónicos y musicales,Compra renta y venta de articulos magnetofonicos y musicales,1,Chalco
Abarrotes al por menor (tienditas misceláneas),Compraventa al publico de productos comestibles no comestibles de higiene personal y de aseo para el hogar a granel envasados empaquetados etiquetados y con envoltura sin venta de bebidas alcoholicas,1,Chalco
Acuario,Compraventa y exhibicion de peces peceras y accesorios,1,Chalco
Agencia de telefonía celular,Compraventa exhibicion reparacion de telefonos celulares radiolocalizadotes y sus accesorios asi como venta de tarjetas telefonicas,1,Chalco
Alimento para ganado y aves,Compraventa de alimento para ganado y aves,1,Chalco
Aparatos eléctricos y electrónicos,Compraventa de aparatos electronicos electricos y linea blanca,1,Chalco
Artesanías,Compraventa al publico de productos elaborados de ceramica orfebreria madera cuerno de toro y otros materiales hechos a mano como sombreros y los elaborados con hilo de hamaca,1,Chalco
Artículos deportivos,Compraventa de ropa deportiva equipo para ejercicios balones pelotas y accesorios,1,Chalco
Artículos de limpieza,Compraventa de productos y accesorios de limpieza para uso domestico Sin elaboracion y fabricacion,1,Chalco
Artículos de plástico,Compraventa de articulos de plastico para el hogar,1,Chalco
Artículos esotéricos,Compra venta de articulos esotericos,1,Chalco
Artículos fotográficos,Compraventa de equipo y material fotografico y sus accesorios incluye servicios de microfilmado y revelado,1,Chalco
Artículos para costura,Compraventa de articulos para costura Incluye venta y reparacion de maquinas de coser refacciones aceites,1,Chalco
Artículos religiosos,Compraventa de articulos religiosos,1,Chalco
Asadero de pollos,Venta de pollos asados a la lena o al carbon en piezas o enteros,1,Chalco
Billetes de lotería,Venta de billetes de loteria,1,Chalco
Bolsas de polietileno,Compraventa de bolsas de polietileno,1,Chalco
Bombas eléctricas,Compraventa y reparacion de bombas electricas,1,Chalco
Bonetería/mercería,Compraventa de cierres encajes hilos estambres hilazas botones y articulos relacionados para la costura,1,Chalco
Boutique / tienda de ropa,Compraventa de ropa nueva y accesorios de vestir como sombreros cinturones mascadas bolsos articulos de piel y cuero,1,Chalco
Cafetería,Elaboracion y venta de productos derivados del cafe Sin venta de bebidas alcoholicas,1,Chalco
Carnicería,Compraventa al publico de carnes rojas y sus derivados,1,Chalco
Comercializadora de agua y refrescos,Compraventa de agua y refrescos al menudeo y medio mayoreo No incluye embazado,1,Chalco
Dulcería,Compraventa de dulces golosinas botanas chocolates envasados empaquetados etiquetados y con envoltura o a granel,1,Chalco
Electrodomésticos,Compraventa de aparatos electrodomesticos y refacciones,1,Chalco
Electrónica,Compraventa de aparatos electronicos refacciones accesorios e instrumentos de medicion y reparacion,1,Chalco
Equipo de computo,Compraventa de equipos de computo consumibles y accesorios,1,Chalco
Estanquillo de revistas y periódicos,Compraventa de periodicos y revistas,1,Chalco
Estudio fotográfico,Servicio de toma y revelado de fotografias,1,Chalco
Expendio de pan,Venta de pan y confiteria,1,Chalco
Farmacia,Compraventa de productos farmaceuticos,1,Chalco
Ferreteria / tlapalería,Venta al por menor de articulos de plomeria material electrico herramientas tornillos clavos brochas rodillos laminas alambre sogas No incluye la venta de solventes como thiner aguarras y similares,1,Chalco
Florería,Venta de flores a granel o arreglos florales,1,Chalco
Fonda/cocina económica,Venta de comida elaborada para consumo en el local o para llevar Sin venta de bebidas alcoholicas,1,Chalco
Granos y semillas,Compraventa de granos y semillas al menudeo,1,Chalco
Joyería,Compraventa de joyas,1,Chalco
Librería,Compraventa de libros,1,Chalco
Lonchería,Elaboracion y venta de alimentos preparados como antojitos Sin venta de bebidas alcoholicas,1,Chalco
Lotería,Venta de billetes de loteria y sorteos,1,Chalco
