nombre,descripcion,municipio_id
Abarrotes y Misceláneas,"Venta de productos comestibles y no comestibles frutas y verduras  bebidas embotelladas productos de higiene personal  y  aseo para el hogar a granel, envasados, empaquetados, etiquetados y con envoltura, huevo,  artículos de jarciaría, sin venta de bebidas alcohólicas",Huixquilucan
Carnicería y tocinería,Venta de carnes cruda de res o puerco,Huixquilucan
Comercio de mascotas,Compra-venta de todo tipo de mascotas domesticas,Huixquilucan
Cremería y salchichonería,"Venta de productos lácteos, salchichas, embutidos y sus derivados",Huixquilucan
Dulcería,"Compra-venta de dulces, golosinas, botanas, chocolates envasados, empaquetados, etiquetados y con envoltura o a granel",Huixquilucan
Expendio de agua purificada,Venta de agua purificada en garrafón,Huixquilucan
Farmacia/ farmacia homeopática,compra-venta de medicamentos naturales o químicos,Huixquilucan
Florería,Elaboración y venta de artículos y arreglos florales,Huixquilucan
Lavandería,Servicio de renta de lavadora y secadora,Huixquilucan
Librería,Compra-venta de libros,Huixquilucan
Panadería / expendio de pan,"Elaboración y venta de pan, pasteles, galletas y confitería",Huixquilucan
Papelería,Compra-venta de artículos escolares y de oficina,Huixquilucan
Pastelería,Elaboración y venta de pasteles y postres,Huixquilucan
Peluquería,"Servicio de corte de cabello, barba y bigote",Huixquilucan
Periódicos y revistas,Compra-venta de periódicos y revistas,Huixquilucan
Pescadería,Venta de todo tipo de pescado y marisco crudo,Huixquilucan
Pollería,Venta de pollo crudo,Huixquilucan
Recaudería,"Compra-venta de  frutas, verduras y legumbres",Huixquilucan
Reparación de calzado,Reparación de calzado,Huixquilucan
Rosticería,Venta de pollo rostizado,Huixquilucan
Salón de belleza y estética,"Aplicación de tintes, cortes, peinados, tratamientos, uñas y maquillaje",Huixquilucan
Sastrería,Servicio de corte y confección de ropa,Huixquilucan
Spa,Establecimiento de salud que ofrece tratamientos y terapias de relajación,Huixquilucan
Tabaquería,"Compra-venta de cigarros, puros, tabaco y accesorios ",Huixquilucan
Tintorería,Servicio de limpieza de ropa,Huixquilucan
Tlapalería/ferretería,Venta de herramientas y material de construcción,Huixquilucan
Tortillería hasta 100m2,Elaboración y venta de tortillas de maíz o de harina,Huixquilucan
Venta de telefonía celular,Venta de aparatos telefónicos celulares y sus accesorios,Huixquilucan
Vivero,"Compra-venta de plantas y flores, venta de accesorios para la jardinería en general",Huixquilucan
Zapatería,Compra-venta de calzado en general,Huixquilucan
Administración de bienes inmuebles,Administración de conjuntos habitacionales y condominios,Huixquilucan
Afiladora,Especialistas en afilar toda clase de instrumentos y herramientas cortantes,Huixquilucan
Agencia de colocación de personal,Colocación de personal para laborar,Huixquilucan
Agencia de edecanes y modelos,Sociedad mercantil que  representa a modelos y edecanes,Huixquilucan
Agencia de limpieza y mantenimiento,Servicio de limpieza y mantenimiento,Huixquilucan
Agencia de publicidad,"Desarrolla, prepara y coloca la publicidad por cuenta de un anunciante que busca encontrar consumidores para sus bienes y servicios o difundir sus ideas",Huixquilucan
Agencia de seguridad privada,Proporciona personal para salvaguardar la integridad física de las personas y los bienes materiales de la empresa o lugar donde trabaja,Huixquilucan
Agencia de viajes,Promoción y venta de productos turísticos,Huixquilucan
Agencia inmobiliaria,"Compra-venta, valuación, asesoría y promoción de bienes inmuebles",Huixquilucan
Agencia promotora de artistas,"Supervisión y asesoría de los temas profesionales de un artista, así como de los planes a largo plazo y decisiones personales que puedan afectar a su carrera",Huixquilucan
Agencia pronósticos deportivos,Venta de billetes para juegos de azar,Huixquilucan
Alquiler de disfraces,Renta de todo tipo de disfraces y vestuario,Huixquilucan
Alquiler de equipo agropecuario,Renta de equipo y maquinaria para uso agropecuario,Huixquilucan
Alquiler de equipo de audio y video,Renta de equipo de audio y video para todo tipo de eventos,Huixquilucan
Alquiler de equipo de computo,Renta de equipo de computación,Huixquilucan
Alquiler de equipo fotográfico profesional,Renta de equipo fotográfico profesional para eventos,Huixquilucan
Alquiler de equipo para fiestas infantiles,Renta de juegos inflables y mecánicos para fiestas infantiles,Huixquilucan
Alquiler de instrumentos musicales,Renta de todo tipo de instrumentos musicales,Huixquilucan
Alquiler de maquinaria para la industria de la construcción,Renta de equipo para uso en todo lo relacionado con la industria de la construcción,Huixquilucan
Alquiler de maquinaria y equipo para la industria manufacturera,Renta de maquinaria y equipo necesarios en la industria manufacturera,Huixquilucan
Alquiler de mobiliario para eventos,"Alquiler de mobiliario para fiestas y eventos sociales y/o empresariales, renta de sillas, mesas, manteles, vajilla, lonas, carpas y módulos de exposición",Huixquilucan
Alquiler de ropa de etiqueta,Renta de ropa de etiqueta,Huixquilucan
Alquiler de sanitarios públicos,Renta de sanitarios móviles para eventos,Huixquilucan
Alquiler de transporte de carga,Renta de todo tipo de transporte de carga con o sin chofer,Huixquilucan
Ambulancias,Servicio de primeros auxilios y traslado de enfermos,Huixquilucan
Artesanías,"Compra-venta al publico de productos elaborados de barro, cerámica, orfebrería, madera y otros materiales hechos a mano como sombreros y dulces típicos",Huixquilucan
Artículos deportivos,Venta de todo tipo de equipo y prendas para la practica deportiva,Huixquilucan
Artículos electrodomésticos,Compra-venta de aparatos electrodomésticos y refacciones,Huixquilucan
Artículos esotéricos,"Venta de velas, perfumes, inciensos, piedras y todo lo relacionado para la practica de esta doctrina",Huixquilucan
Artículos ortopédicos/ venta de prótesis y material quirúrgico,"Venta y renta de equipo y aparatos médicos, artículos para rehabilitación física y material quirúrgicos",Huixquilucan
Artículos para el cuidado personal,Venta de productos para el cuidado corporal y del cabello,Huixquilucan
Artículos religiosos,Venta de artículos para la practica religiosa,Huixquilucan
Artículos usados de uso domestico,Compra-venta de enseres electrodomésticos usados,Huixquilucan
Asociaciones civiles,"Entidad privada sin animo de lucro y con personalidad jurídica plena, integrada por personas físicas para el cumplimiento de fines culturales, educativos, de divulgación, deportivos, o de índole similar, con el objeto de fomentar entre sus socios y/o terceros alguna actividad socio-cultural",Huixquilucan
Artículos para bebe,"Venta de ropa, muebles y accesorios para bebe",Huixquilucan
Blancos,Venta de artículos de cama y baño,Huixquilucan
Bolería,Espacio destinado a la limpieza y mantenimiento de calzado,Huixquilucan
Boutique,"Venta de ropa nueva  y accesorios de vestir  como sombreros, cinturones, mascadas, bolsos, artículos de piel y cuero para niños, dama y caballero",Huixquilucan
Carpintería,Fabricación de todo tipo de muebles y artículos de madera,Huixquilucan
Casa de cultura,Lugar destinado a mantener actividades que promueven la cultura,Huixquilucan
Centro comunitario y social,Lugar destinado a la realización de eventos sociales y deportivos,Huixquilucan
Centro de copiado,"Impresión digital y reproducción de documentos blanco/negro y/o color prestación el servicio al mayoreo o menudeo de fotocopiado, fax, engargolado, enjicado, xerografías, plotter, etc.",Huixquilucan
Cerrajería,Servicio de cerrajería en general,Huixquilucan
Ciber cafés,Alquiler de equipo de computo con acceso a la red de internet,Huixquilucan
Clínicas veterinarias,"Venta de animales domésticos, alimento para animales, y accesorios",Huixquilucan
Comercio de bicicletas,"Compra-venta de bicicletas nuevas, usadas y refacciones",Huixquilucan
Comercio de cocinas integrales,Venta de cocinas integrales hechas a la medida y sobre diseño,Huixquilucan
Comercio de enseres eléctricos y línea blanca,Compra-venta de todo tipo de enseres domésticos y línea blanca,Huixquilucan
Comercio de equipo de computo,Compra-venta de equipo de computación y accesorios,Huixquilucan
Comercio de equipo médico y de laboratorio,Compra-venta  de muebles y equipos de laboratorios de análisis clínicos,Huixquilucan
Comercio de equipo de oficina,Compra-venta de equipo de oficina,Huixquilucan
