nombre,descripcion,path,municipio_id
Formato de Solicitud de Licencia de Funcionamiento,"Formato oficial para apertura de negociaciones comerciales, industriales o de prestación de servicios distintas al SARE",NA,Huixquilucan
Formato SARE  formato único de apertura de negocios (FUA),Formato oficial utilizado únicamente para realización del tramite de apertura rápida de empresas,http://www.huixquilucan.gob.mx/images/2015-01-09fua_nuevo.pdf,Huixquilucan
Croquis de ubicación,"Documento en el cual se visualiza  la ubicación del inmueble delimitada por las calles mas próximas, el croquis puede estar contenido en el formato FUA o en un anexo y de preferencia tomado de google maps",https://www.google.com.mx/maps,Huixquilucan
Identificación oficial vigente,"Documento expedido por institución oficial que contiene el nombre, fotografía y otros datos que identifican a la persona titular, para efectos de este tramite pueden ser la credencial para votar, el pasaporte , la cartilla del servicio militar nacional  o la Cédula profesional",NA,Huixquilucan
Documento que acredite la propiedad y/o posesión del inmueble,Cualquier documento legal  que garantice el goce y la disposición del inmueble,NA,Huixquilucan
Cédula Informativa de Zonificación o Licencia de uso de suelo,"Instrumento administrativo que precisa los usos del suelo, densidades , intensidades de aprovechamiento y ocupación ,así como las restricciones federales, estatales y municipales de un predio",http://www.huixquilucan.gob.mx/librerias/tramites.php?show_tramite=116,Huixquilucan
Comprobante de domicilio no mayor a tres meses,"Documento en el cual se hace constar el lugar donde una persona ,física o moral tiene su residencia o fija para el cumplimiento de diversas obligaciones.",NA,Huixquilucan
Acta constitutiva u otro documento que acredite la constitución legal de la empresa,Documento o constancia notarial en la cual se registrarán todos aquellos datos referentes y correspondientes a la formación de una persona moral,NA,Huixquilucan
Copia del poder notarial del representante legal,Autorización dada a una persona en presencia de un notario para que realice actos en representación y nombre de la persona moral,NA,Huixquilucan
Alta de Hacienda o Forma R1,Es una clave que requiere toda persona física o moral en México para realizar cualquier actividad económica lícita por la que esté obligada a pagar impuestos. A estas personas se les llama contribuyentes.,http://www.sat.gob.mx/informacion_fiscal/tramites/inscripcion_rfc/Paginas/default.aspx,Huixquilucan
Identificación Oficial vigente del representante legal,"Documento expedido por institución oficial que contiene el nombre, fotografía y otros datos que identifican a la persona titular, para efectos de este tramite pueden ser la credencial para votar, el pasaporte , la cartilla del servicio militar nacional  o la Cédula profesional",NA,Huixquilucan
Constancia de Condiciones de Seguridad en materia de Protección Civil,Instrumento técnico administrativo través del cual se comunica a los particulares los niveles de riesgo que se presentan en los inmuebles y su entorno,http://www.huixquilucan.gob.mx,Huixquilucan
Copia del recibo o comprobante del pago vigente de derechos por el suministro de agua,Es un documento que  deja constancia de la recepción de una cantidad de dinero mediante una transacción por el pago de dicho servicio avalado por Organismo Público Descentralizado Sistema Aguas de Huixquilucan.,http://www.sah.gob.mx/,Huixquilucan
Copia del recibo o comprobante del pago vigente del impuesto predial,"Es el recibo que entrega el gobierno municipal por el pago del impuesto sobre la propiedad del terreno o casa, es un pago anual de derechos de uso y disfrute",NA,Huixquilucan
Carta responsiva de recarga de los extintores,Es el documento que acredita que los extintores cuentan con la recarga adecuada y vigente para su funcionamiento,NA,Huixquilucan
Solicitud de inspección a establecimiento dirigida al Comisario de Seguridad Pública,Escrito simple con fecha y firma del solicitante donde señale el domicilio y croquis de ubicación del local donde requiere la Verificación de medidas de seguridad en materia de Protección Civil,NA,Huixquilucan
Visto bueno o Constancia anterior de Condiciones de Seguridad en materia de Protección Civil,Constancia de Condiciones de Seguridad en materia de Protección Civil obtenida el año anterior,NA,Huixquilucan
Solicitud para Visita de Inspección para Opinión Técnica de Medio Ambiente,Escrito simple con fecha y firma del solicitante donde señale el domicilio y croquis de ubicación del local donde requiere la Visita de Inspección para Opinión Técnica de Medio Ambiente,NA,Huixquilucan
Carta responsiva de medio ambiente,Carta en la que el particular se compromete a solicitar la Visita de Inspección para Opinión Técnica de Medio Ambiente,NA,Huixquilucan
Carta responsiva de Protección Civil,Carta en la que el particular se compromete a solicitar la Constancia anterior de Condiciones de Seguridad en materia de Protección Civil,NA,Huixquilucan
