nombre,descripcion,path,tipo,tramite,municipio_id
Acta de integración a la comisión de seguridad e higiene en los centros de trabajo,"La Ley Federal del Trabajo establece en su artículo 509 que en cada empresa o establecimiento se organizarán las comisiones de seguridad e higiene que se juzgue necesarias, compuestas por igual número de representantes de los trabajadores y del patrón.",http://trabajoseguro.stps.gob.mx/trabajoseguro/boletines%20anteriores/2008/bol018/vinculos/Tr%C3%ADptico%20MCSHT.pdf,Moral,Federal,Lerma
Acta de integración a la comisión de seguridad e higiene en los centros de trabajo,"La Ley Federal del Trabajo establece en su artículo 509 que en cada empresa o establecimiento se organizarán las comisiones de seguridad e higiene que se juzguen necesarias, compuestas por igual número de representantes de los trabajadores y del patrón.",http://trabajoseguro.stps.gob.mx/trabajoseguro/boletines%20anteriores/2008/bol018/vinculos/Tr%C3%ADptico%20MCSHT.pdf,Física,Federal,Lerma
Aprobación de planes y programas de capacitación y adiestramiento,"Todas las empresas deben elaborar y conservar los planes y programas de capacitación, adiestramiento y productividad de acuerdo a lo señalado en los artículos 153-F Bis, 153-H, 153-B segundo párrafo y 153-S de la Ley Federal del Trabajo.",http://www.stps.gob.mx/bp/secciones/conoce/areas_atencion/areas_atencion/inclusion_laboral/capacitacion/PlanProgramasCapacitacionAdiestramiento_STPS.html,Moral,Federal,Lerma
Aprobación de planes y programas de capacitación y adiestramiento,"Todas las empresas deben elaborar y conservar los planes y programas de capacitación, adiestramiento y productividad de acuerdo a lo señalado en los artículos 153-F Bis, 153-H, 153-B segundo párrafo y 153-S de la Ley Federal del Trabajo.",http://www.stps.gob.mx/bp/secciones/conoce/areas_atencion/areas_atencion/inclusion_laboral/capacitacion/PlanProgramasCapacitacionAdiestramiento_STPS.html,Física,Federal,Lerma
Aviso de uso de los permisos para la constitución de sociedades,Aviso de uso de los permisos para la constitución de sociedades,www.tuempresa.gob.mx,Moral,Federal,Lerma
Constitución de la comisión mixta de capacitación y adiestramiento,"Las empresas que cuenten con más de 50 trabajadores deberán constituir Comisiones Mixtas de Capacitación, Adiestramiento y Productividad",http://www.stps.gob.mx/bp/secciones/conoce/areas_atencion/areas_atencion/inclusion_laboral/capacitacion/comision_mixta_capacitacion.html,Física,Federal,Lerma
Constitución de la comisión mixta de capacitación y adiestramiento,"Las empresas que cuenten con más de 50 trabajadores deberán constituir Comisiones Mixtas de Capacitación, Adiestramiento y Productividad",https://portal.infonavit.org.mx/wps/wcm/connect/58ccb68c-7034-4863-b448-4e60c124795c/Registro_empresas_al_sistema_Redes.pdf?MOD=AJPERES,Moral,Federal,Lerma
Constitución de sociedades  ante la Secretaría de Economía,Constituir una sociedad y saber que el nombre no ha sido ocupado por una sociedad distinta.,http://consulmex.sre.gob.mx/fresno/index.php/constitucion-de-sociedades,Física,Federal,Lerma
Constitución de sociedades  ante la Secretaría de Economía,Es un trámite que se realiza  ante la Secretaría de Relaciones Exteriores  y aplica para  todas las personas que deseen constituir una sociedad y saber que el nombre no ha sido ocupado por una sociedad distinta.,http://consulmex.sre.gob.mx/fresno/index.php/constitucion-de-sociedades,Moral,Federal,Lerma
Inscripción al RFC,El Registro Federal de Contribuyentes (o RFC) es una clave que requiere toda persona física o moral en México para realizar cualquier actividad económica lícita por la que esté obligada a pagar impuestos a toda persona moral  con algunas excepciones. A estas personas se les llama contribuyentes. La clave debe incluir datos personales del contribuyente o persona física (por ejemplo  su nombre y fecha de nacimiento) o de la persona moral (por ejemplo  nombre y fecha de origen de la persona moral). El registro se hace ante las oficinas del Servicio de Administración Tributaria de la Secretaría de Hacienda y Crédito Público  y es obligatorio para todos los que señale el Código Fiscal de la Federación.1,http://www.sat.gob.mx/informacion_fiscal/tramites/inscripcion_rfc/Paginas/default.aspx,Física,Federal,Lerma
Inscripción al RFC,El Registro Federal de Contribuyentes (o RFC) es una clave que requiere toda persona física o moral en México para realizar cualquier actividad económica lícita por la que esté obligada a pagar impuestos a toda persona moral  con algunas excepciones. A estas personas se les llama contribuyentes. La clave debe incluir datos personales del contribuyente o persona física (por ejemplo  su nombre y fecha de nacimiento) o de la persona moral (por ejemplo  nombre y fecha de origen de la persona moral). El registro se hace ante las oficinas del Servicio de Administración Tributaria de la Secretaría de Hacienda y Crédito Público  y es obligatorio para todos los que señale el Código Fiscal de la Federación.2,http://www.sat.gob.mx/informacion_fiscal/tramites/inscripcion_rfc/Paginas/default.aspx,Moral,Federal,Lerma
Licencia COFEPRIS,Dentro de las atribuciones de la COFEPRIS  se tienen la atención exclusiva para la Autorización Sanitaria  de los establecimientos de insumos para la salud y salud ambiental   que se indican a continuación  a los cuales se les ha emitido licencias sanitarias  por ésta Comisión Federal.,http://www.cofepris.gob.mx/AS/Paginas/Establecimientos%20y%20productos%20biologicos/LicenciaSanitaria.aspx,Moral,Federal,Lerma
Licencia COFEPRIS,Dentro de las atribuciones de la COFEPRIS  se tienen la atención exclusiva para la Autorización Sanitaria  de los establecimientos de insumos para la salud y salud ambiental   que se indican a continuación  a los cuales se les ha emitido licencias sanitarias  por ésta Comisión Federal.,http://www.cofepris.gob.mx/AS/Paginas/Establecimientos%20y%20productos%20biologicos/LicenciaSanitaria.aspx,Física,Federal,Lerma
Padrón de Importadores,El Padrón de importadores es uno de los principales requisitos que Aduanas exige para realizar operaciones de importación a Mexico. El registro al Padrón puede ser solicitado tanto por una persona física como una persona moral y actualmente es un trámite sencillo y gratuito  el cual se realiza mediante el llenado de una Solicitud electrónica dentro de la página web del SAT (www.sat.gob.mx),http://www.sat.gob.mx/aduanas/tramites_autorizaciones/guia_padrones/Paginas/inscripcion_pise.aspx,Física,Federal,Lerma
Padrón de Importadores,El Padrón de importadores es uno de los principales requisitos que Aduanas exige para realizar operaciones de importación a Mexico. El registro al Padrón puede ser solicitado tanto por una persona física como una persona moral y actualmente es un trámite sencillo y gratuito  el cual se realiza mediante el llenado de una Solicitud electrónica dentro de la página web del SAT (www.sat.gob.mx),http://www.sat.gob.mx/aduanas/tramites_autorizaciones/guia_padrones/Paginas/inscripcion_pise.aspx,Moral,Federal,Lerma
Registro de la Empresa IMSS  persona Moral,Actualiza  cambia y corrige los datos de tus beneficiarios para que sigan disfrutando de las prestaciones que ofrece el IMSS.,http://www.imss.gob.mx/tramites/imss02001c,Moral,Federal,Lerma
Registro empresarial ante el IMSS,"Es el primer trámite que debes realizar, como persona moral dedicado a la actividad de sindicato, ante el IMSS para cumplir con tu obligación de inscribir a tus trabajadores.",http://www.imss.gob.mx/patrones,Moral,Federal,Lerma
Registro empresarial ante el IMSS,"Es el primer trámite que debes realizar, como persona moral dedicado a la actividad de sindicato, ante el IMSS para cumplir con tu obligación de inscribir a tus trabajadores.",http://www.imss.gob.mx/patrones,Física,Federal,Lerma
Registro empresarial ante el INFONAVIT,"Cuando inscribes a tu empresa y a tus empleados en el Instituto Mexicano del Seguro Social (IMSS), simultáneamente éstos se vuelven derechohabientes del Infonavit.",https://portal.infonavit.org.mx/wps/wcm/connect/58ccb68c-7034-4863-b448-4e60c124795c/Registro_empresas_al_sistema_Redes.pdf?MOD=AJPERES,Física,Federal,Lerma
Registro empresarial ante el INFONAVIT,"Cuando inscribes a tu empresa y a tus empleados en el Instituto Mexicano del Seguro Social (IMSS), simultáneamente éstos se vuelven derechohabientes del Infonavit.",https://portal.infonavit.org.mx/wps/wcm/connect/58ccb68c-7034-4863-b448-4e60c124795c/Registro_empresas_al_sistema_Redes.pdf?MOD=AJPERES,Moral,Federal,Lerma
Registro IMSS,Actualiza  cambia y corrige los datos de tus beneficiarios para que sigan disfrutando de las prestaciones que ofrece el IMSS.,http://www.imss.gob.mx/tramites/imss02030b,Física,Federal,Lerma
Registro público de la propiedad y el comercio,"Es la institución mediante la cual el Estado proporciona el servicio de dar publicidad a los actos mercantiles  así como aquellos que se relacionan con los comerciantes y que conforme a la legislación lo requieran  para surtir efectos contra terceros.
",http://qacontent.edomex.gob.mx/ifrem/registropublicodecomercio/index.htm,Moral,Federal,Lerma
Sociedades ante la SE,El Registro ante la secretaría de economía permite que su compañía sea considerada legalmente establecida por el Gobierno y pueda funcionar en forma regular.,http://www.economia.gob.mx/eventos-noticias/informacion-relevante/8212-aviso-sobre-tramites-relacionados-con-la-autorizacion-de-uso-de-denominaciones-y-razones-sociales,Moral,Federal,Lerma
Dictamen de protección civil para construcciones que produzcan impacto regional,"Este trámite es necesario para estaciones de servicio, de carburación, plantas de almacenamiento de gas L.P. y proyectos denominados de alto riesgo.",http://www.edomexico.gob.mx/rete/portramite/generalgobierno/dgpc1.pdf,Física,Estatal,Lerma
Evaluación de impacto y riesgo ambiental,Por medio de este procedimiento la Secretaría del Medio Ambiente evalúa el impacto y riesgo ambiental de proyectos específicos.,http://www.edomexico.gob.mx/rete/PORTRAMITE/MEDIOAMBIENTE/DGOIA1.pdf,Física,Estatal,Lerma
Solicitud de autorización sanitaria por apertura y actualización de datos,"Es un análisis de requisitos sanitarios para la prestación de servicios a establecimientos fijos de alimentos y bebidas no alcohólicas en la vía pública, así como a panteones. Los giros correspondientes son los 420011, 821241, 931051 del Catálogo Mexicano de Actividades y Productos.",http://www.edomexico.gob.mx/rete/PORTRAMITE/SALUD/ISEM3.pdf,Física,Estatal,Lerma
