nombre,descripcion,sare,municipio_id
"Abarrotes, Misceláneas y Lonjas Mercantiles (sin venta de bebidas alcohólicas)","Comercio al por menor de una amplia variedad de productos, como leche, queso, crema, embutidos, dulces, galletas, pan, pasteles, botanas, frituras, conservas, productos enlatados, agua purificada embotellada, refrescos, cigarros, huevo, papel higiénico, detergente, jabón, servilletas de papel, utensilios de cocina desechables",1,Lerma
Agencia de colocación de personal (oficinas),"Reclutamiento, selección y colocación de personal",1,Lerma
Agencia de limpieza y mantenimiento (oficinas),Proveer personal propio a otras unidades económicas por un tiempo  indeterminado,1,Lerma
Agencia de modelos y edecanes (oficinas),Proveer personal propio a otras unidades económicas para apoyar o complementar la fuerza de trabajo de éstas por un tiempo determinado,1,Lerma
Agencia de publicidad,"Unidades económicas dedicadas principalmente a la creación de campañas publicitarias y su difusión en medios masivos de comunicación, como radio, televisión, medios impresos y otros medios. Estas unidades proporcionan una amplia variedad de servicios (por ellas mismas o por medio de la subcontratación de servicios), como asesoría, servicios creativos, manejo de cuentas publicitarias, producción de materiales publicitarios, planeación y compra de medios, consultoría en publicidad, y agencias de promoción de ventas, es decir, las agencias que planean la publicidad, organizan y desarrollan campañas de promoción que estimulan en el consumidor la selección de productos o servicios",1,Lerma
Agencia de seguridad privada (oficinas),Proveer personal propio a otras unidades económicas por un tiempo  indeterminado,1,Lerma
Agencia de viajes,"Proporcionar servicios de asesoría, planeación y organización de itinerarios de viajes",1,Lerma
Agencia pronósticos deportivos,"Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo propiedad de terceros a cambio de una comisión",1,Lerma
Albañilería,"Trabajos de albañilería cuando no se trata de la obra completa, como el levantamiento de bardas o muros de piedras, bloques o ladrillos (tabiques), la hechura de pisos de concreto sin acabado, y la aplicación de aplanados a base de mortero",1,Lerma
Alquiler de automóviles,Alquiler de automóviles sin chofer,1,Lerma
Alquiler de disfraces,"Alquiler de prendas de vestir, disfraces y vestuario artístico",1,Lerma
Alquiler de equipo agropecuario,"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera sin operador, como tractores agrícolas, trilladoras, ordeñadoras, maquinaria y equipo para la industria alimentaria, textil, química, etcétera",1,Lerma
Alquiler de equipo de audio y video,"Alquiler de maquinaria y equipo comercial y de servicios, como refrigeradores, congeladores, básculas, equipo médico para clínicas y hospitales, equipo fotográfico, cinematográfico, teatral, de comunicaciones, equipo de sonido para fiestas, congresos y convenciones",1,Lerma
Alquiler de equipo de computo,"Alquiler de equipo de cómputo y de otras máquinas, mobiliario de oficina, al alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina",1,Lerma
Alquiler de instrumentos musicales,Alquiler de instrumentos musicales,1,Lerma
Alquiler de maquinaria para la industria de la construcción,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales sin operador, como cribadoras, demoledoras, excavadoras, mezcladoras, revolvedoras, perforadoras, barrenadoras, grúas para la construcción, equipo para la extracción de petróleo y gas, sierras para corte de árboles y transportadores de bienes silvícolas, maquinaria y equipo para construcción, minería y actividades forestales sin operador",1,Lerma
Alquiler de maquinaria y equipo para la industria manufacturera,"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera sin operador, como tractores agrícolas, trilladoras, ordeñadoras, maquinaria y equipo para la industria alimentaria, textil, química, etcétera",1,Lerma
Alquiler de mobiliario para eventos,"Alquiler de mesas, sillas, vajillas, utensilios de cocina, mantelería, lonas, carpas y similares, para ocasiones especiales",1,Lerma
Alquiler de ropa de etiqueta,"Alquiler de prendas de vestir, disfraces y vestuario artístico",1,Lerma
Alquiler de sanitarios públicos,Alquiler de sanitarios portátiles,1,Lerma
Alquiler de transporte de carga,"Autotransporte de materiales para la construcción, como arena, grava, concreto premezclado a granel, tabiques, piezas preconstruidas, sacos de cemento y yeso, materiales metálicos y madera para la construcción, en vehículos diseñados y equipados para ese propósito, y cuyo radio de acción se limita al área metropolitana, municipio o localidad en que radican",1,Lerma
Arquitectos e ingenieros civiles,Planeación y diseño de edificaciones residenciales y no residenciales,1,Lerma
Artesanías,Comercio al por menor de una amplia variedad de productos artesanales,1,Lerma
Artículos esotéricos,"Venta de velas, perfumes, inciensos, piedras y lo relacionado para la práctica de esta actividad",1,Lerma
Artículos ortopédicos/ Venta de prótesis y Material quirúrgico,"Comercio al por menor especializado de artículos ortopédicos nuevos, como prótesis, muletas, sillas de ruedas, calzado ortopédico",1,Lerma
Artículos para bebé,Comercio al por menor especializado de ropa de bebé nueva,1,Lerma
Artículos religiosos,"Artículos religiosos nuevos, como velas, crucifijos, efigies, biblias, medallas, oraciones, estampas, accesorios y utensilios para ceremonias sacramentales",1,Lerma
Artículos usados de uso doméstico,"Comercio al por menor especializado de artículos usados como muebles, electrodomésticos menores y aparatos de línea blanca, libros, revistas, ropa, calzado, juguetes, equipo de cómputo",1,Lerma
Blancos,"Comercio al por menor especializado de blancos nuevos, como manteles, toallas, sábanas, almohadas, cojines, servilletas, cobertores, colchas, cobijas, carpetas, cortinas, edredones, fundas para electrodomésticos",1,Lerma
Bolería,Limpieza de calzado,1,Lerma
Boutique,"Comercio al por menor especializado de ropa nueva, uniformes escolares y secretariales",1,Lerma
Bufete jurídico,"proporcionar servicios de asesoría y representación jurídica, para la defensa legal ante un tribunal o agencia administrativa, en materia fiscal, mercantil, laboral, internacional, protección de los derechos de propiedad intelectual",1,Lerma
Cafeterías (sin venta y/o sin consumo de bebidas alcohólicas),"Dedicadas principalmente a la preparación de café, nieves, jugos, licuados y otras bebidas no alcohólicas, así como a preparar y servir alimentos para su consumo inmediato en las instalaciones de la unidad económica",1,Lerma
Carnicería,Venta de carnes de res o puerco crudo,1,Lerma
Carpintería,"Realización de trabajos de carpintería en el lugar de la construcción. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de trabajos de carpintería realizados o instalados en el lugar de la construcción",1,Lerma
Carpintería (instalación),"Realización de trabajos de carpintería en el lugar de la construcción. Puede tratarse de trabajos nuevos, ampliaciones, remodelaciones, mantenimiento o reparaciones de trabajos de carpintería realizados o instalados en el lugar de la construcción",1,Lerma
Centro de copiado,"Unidades económicas dedicadas principalmente a proporcionar servicios de fotocopiado, fax y engargolado. enmicado, recepción de correspondencia y servicios afines",1,Lerma
Centros de consultorios y de salud; unidades de primer contacto,Proporcionar servicios de consulta médica externa general prestados por profesionistas con estudios mínimos de licenciatura en medicina,1,Lerma
Centros de integración juvenil,"Proporcionar servicios de orientación y trabajo social mediante pláticas y conferencias para la prevención o combate de adicciones o enfermedades como alcoholismo, neurosis, drogadicción, tabaquismo y desórdenes alimenticios. Incluye también: u.e.d.p. a proporcionar servicios de orientación y apoyo psicológico vía telefónica",1,Lerma
Cerrajería,"Obtener duplicados de llaves con equipo tradicional de acuerdo a un modelo, y a reparar, cambiar y abrir cerraduras de puertas, cajas fuertes y muebles",1,Lerma
CiberCafé,"Principalmente a proporcionar acceso a computadoras para usar Internet, capturar textos, hacer hojas de cálculo",1,Lerma
