nombre,giro,horario,direccion,latitud,longitud,ciudad
Empresa,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,Tizapa #38 C.P. 56600,19.2658394,-98.891563,Chalco
COCINA ECONOMICA LUPITA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,REFORMA # 26 C.P. 56600,19.2634669,-98.895045,Chalco
MI NEGRO,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,AQUILES SERDAN MZ 29 LT 27,19.2685563,-98.896393,Chalco
LA UNICA,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,NACIONAL # 28 C.P. 56642,19.2688196,-98.864309,Chalco
CASTILLO DE CHARIN,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,5 DE FEBRERO # 3,19.2074057,-98.931798,Chalco
JARROS PIZZA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,5 DE FEBRERO # 2-A,19.2073272,-98.931756,Chalco
TECPATL,JOYERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,GUADALUPE VICTORIA mZ. 9 LT.15 ESQ. POPOCATEPETL,19.2174787,-98.905405,Chalco
PAPELERÍA,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,HUICHOLES MZ. 01 LT. 12,19.2627782,-98.905148,Chalco
LIBRERÍA,LIBRERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,REFORMA nO. 24,19.2634087,-98.895084,Chalco
MODAS MARY-FER,BOUTIQUE / TIENDA DE ROPA,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 10 LOCAL 38,19.2581597,-98.902401,Chalco
FLORERÍA ISPIRATION,FLORERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 15,19.2607323,-98.89811,Chalco
INPROCOM,EQUIPO DE CÓMPUTO,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 10 LOCAL 8,19.2608032,-98.898029,Chalco
COCINA LA MESA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,"MATAMOROS 28 ESQ, BRAVO C.P. 56600",19.259284,-98.895728,Chalco
