nombre,ciudad,giro,horario,direccion,latitud,longitud
MAZDA,Metepec,AGENCIA AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,BENITO JUÁREZ # 1435 NTE. HÍPICO,19.269666,-99.629152
AUTOMOTRIZ TOLLOCAN S.A. DE C.V.,Metepec,AGENCIA AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,PASEO TOLLOCAN KM. 4.8 SAN JERÓNIMO CHICAHUALCO,19.28651,-99.58746
MONARCA CONSULTORES S.A. DE C.V.,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. HERIBERTO ENRÍQUEZ #362 FRACC. REAL SAN JAVIER,19.261801,-99.644293
VERIFICENTRO PILARES S.A. DE C.V.,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,27 DE SEPTIEMBRE # 41 SAN JERÓNIMO CHICAHUALCO,19.277811,-99.594266
VERIFICACIÓN AUTOMOTRIZ,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,CARRETERA TOLUCA-TENANGO # 639 LA PURÍSIMA,19.258127,-99.625703
INSTITUTO ONCOLOGICO MEXIQUENSE S.A. DE C.V.,Metepec,CLÍNICA,24:00 HORAS,AV. BAJA VELOCIDAD # 3001 FRANCISCO I. MADERO,19.286273,-99.578527
CLÍNICA UNIDAD DERMATOLOGICA DRES. SOLIS S.C.,Metepec,CLÍNICA,24:00 HORAS,JOSÉFA ORTIZ DE DOMINGUEZ # 318 BARRIO DE SAN MATEO,19.258951,-99.610587
MULTIMÉDICA METEPEC,Metepec,CLÍNICA,24:00 HORAS,JOSÉFA ORTIZ DE DOMÍNGUEZ # 529-202 BARRIO DE SAN MATEO,19.258981,-99.609665
DENTALIA,Metepec,CLÍNICA,24:00 HORAS,"AV. TECNOLÓGICO  ""PLAZA MIA"" # 1600 SAN SALVADOR TIZATLALLI",19.272279,-99.575482
INSTITUTO DE HUMONOLOGíA   CENTRO DE YOGA,Metepec,CLÍNICA,24:00 HORAS,GUADALUPE VICTORIA # 227 FRACC. LOS CEDROS,19.263015,-99.626499
CLÍNICA MÉDICA SAN JUAN,Metepec,CLÍNICA,24:00 HORAS,ARMANDO SOTO MZ-8 L-1 JESÚS JIMÉNEZ GALLARDO,19.259964,-99.633708
723 / VENDOME,Metepec,DISCOTECA,17:00 A 02:00 HORAS DE MIERCOLES A SABADO,AV. LIC. BENITO JUÁREZ GARCIA # 723 NTE. BARRIO DE COAXUSTENCO,19.260177,-99.61932
ESTACIONAMIENTO PLAZA MAYOR,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. LEONA VICARIO # 386 BARRIO DE COAXUSTENCO,19.261349,-99.617601
ADCONINS S.A DE C.V.,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,BOULEVARD TOLUCA METEPEC # 400 GALERÍAS METEPEC,19.257016,-99.621681
PLAZA CITY CENTER,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,BOULEVARD TOLUCA METEPEC # 267 LA MICHOACANA,19.2563584,-99.623689
ESTACIONAMIENTO LOS MOLCAJETES,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PEDRO ASCENCIO # 8 BARRIO DE SANTA CRUZ,19.255659,-99.594852
