nombre,municipio_id
Desarrollo Económico,Metepec
Desarrollo Urbano,Metepec
Dirección de Desarrollo Económico,Metepec
DIRECCIÓN DE DESARROLLO URBANO,Metepec
DIRECCIÓN DE GOBIERNO,Metepec
Dirección de Medio Ambiente,Metepec
DIRECCIÓN DE MEDIO AMBIENTE,Metepec
DIRECCIÓN DE NORMATIVIDAD,Metepec
Normatividad,Metepec
OPDAPAS,Metepec
OPDAPAS.ADMINISTRACION,Metepec
OPDAPAS.ATENCION A USUARIOS,Metepec
OPDAPAS.COMERCIALIZACION,Metepec
OPDAPAS.DEPTO DE PALNEACION,Metepec
OPDAPAS.PADRON A USUARIOS,Metepec
OPDAPAS.UNIDAD JURIDICA,Metepec
Otra,Metepec
Protección Civil,Metepec
Subdirección de Ingresos,Metepec
Tesorería,Metepec
TESORERÍA MUNICIPAL,Metepec
