nombre,descripcion,municipio_id,SARE
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / ABARROTES,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / APARATOS ELECTRÓNICOS,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / CERVEZA,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / MAQUINARIA,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / MATERIALES DE CONSTRUCCIÓN,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / MATERIALES RECICLABLES.,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / MUEBLES,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / REFRESCOS,N/A,Metepec,1
BODEGAS Y DEPÓSITOS MÚLTIPLES SIN VENTA DIRECTA AL PÚBLICO / ROPA,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / DENTALES,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / CÁMARAS DE OXIGENACIÓN,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / CENTROS DE CONSULTORIOS Y DE SALUD; UNIDADES DE PRIMER CONTACTO,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / CENTROS DE DEPILACIÓN.,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / MASAJES,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / NUTRIÓLOGOS,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / ÓPTICOS,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / PSICOLOGÍA,N/A,Metepec,1
CENTROS DE CONSULTORIOS SIN HOSPITALIZACIÓN / SPA,N/A,Metepec,1
"CENTROS DE ESPECTÁCULOS, CULTURALES Y RECREATIVOS / BIBLIOTECAS",N/A,Metepec,1
"CENTROS DE ESPECTÁCULOS, CULTURALES Y RECREATIVOS / CASAS DE CULTURA",N/A,Metepec,1
"CENTROS DE ESPECTÁCULOS, CULTURALES Y RECREATIVOS / CENTROS COMUNITARIOS ",N/A,Metepec,1
"CENTROS DE ESPECTÁCULOS, CULTURALES Y RECREATIVOS / GALERÍAS DE ARTE",N/A,Metepec,1
"CENTROS DE ESPECTÁCULOS, CULTURALES Y RECREATIVOS / MUSEOS",N/A,Metepec,1
COMERCIO DE MATERIALES PARA LA CONSTRUCCIÓN VENTA Y/O RENTA DE EQUIPO PARA LA CONSTRUCCIÓN / CASAS DE MATERIALES,N/A,Metepec,1
COMERCIO DE MATERIALES PARA LA CONSTRUCCIÓN VENTA Y/O RENTA DE EQUIPO PARA LA CONSTRUCCIÓN / PINTURAS Y/O IMPERMEABILIZANTES,N/A,Metepec,1
COMERCIO DE MATERIALES PARA LA CONSTRUCCIÓN VENTA Y/O RENTA DE EQUIPO PARA LA CONSTRUCCIÓN / PRODUCTOS PREFABRICADOS PARA LA CONSTRUCCIÓN,N/A,Metepec,1
