nombre,descripcion,sare,municipio_id
Bufetes jurídicos,N/A,1,Tenango del Valle
Notarías públicas,N/A,1,Tenango del Valle
"Apoyo para efectuar trámites legales (consultoría, jurídicas, contables, etc)",N/A,1,Tenango del Valle
Anuncios publicitarios,N/A,1,Tenango del Valle
Comercializadora de hilos y telas,N/A,1,Tenango del Valle
Comercializadora de blancos,N/A,1,Tenango del Valle
Comercializadora de textiles,N/A,1,Tenango del Valle
Comercializadora de prendas de vestir,N/A,1,Tenango del Valle
distribuidora de calzado,N/A,1,Tenango del Valle
Tienda de abarrotes y/o misceláneas sin venta de bebidas alcohólicas,N/A,1,Tenango del Valle
Recaudería,N/A,1,Tenango del Valle
Venta de huevo,N/A,1,Tenango del Valle
"Comercio de semillas, especias y chiles secos",N/A,1,Tenango del Valle
Venta de lácteos y carne frías,N/A,1,Tenango del Valle
Venta de dulces y materias primas para repostería,N/A,1,Tenango del Valle
Panadería y pastelería,N/A,1,Tenango del Valle
"Venta de refrescos, agua embotellada y hielo empaquetado",N/A,1,Tenango del Valle
Boutique o venta de ropa nueva textil,N/A,1,Tenango del Valle
Boutique y/o venta de ropa nueva de cuero y piel,N/A,1,Tenango del Valle
Zapaterías,N/A,1,Tenango del Valle
Venta de productos farmacéuticos (farmacia),N/A,1,Tenango del Valle
Venta de medicamentos homeópatas,N/A,1,Tenango del Valle
Farmacias sin mini súper,N/A,1,Tenango del Valle
Venta de productos naturistas y complementos alimenticios,N/A,1,Tenango del Valle
Artículos de mercería y bonetería,N/A,1,Tenango del Valle
Actividades de manualidades,N/A,1,Tenango del Valle
Pañales desechables,N/A,1,Tenango del Valle
Sombreros,N/A,1,Tenango del Valle
Venta de artículos de papelería,N/A,1,Tenango del Valle
Librerías,N/A,1,Tenango del Valle
Venta de periódicos y revistas,N/A,1,Tenango del Valle
Materiales eléctricos,N/A,1,Tenango del Valle
Plomería,N/A,1,Tenango del Valle
Decoración,N/A,1,Tenango del Valle
Calzado,N/A,1,Tenango del Valle
Artículos fotográficos,N/A,1,Tenango del Valle
Estudios fotográficos,N/A,1,Tenango del Valle
Productos de perfumería,N/A,1,Tenango del Valle
Equipo de computo,N/A,1,Tenango del Valle
Centros de internet,N/A,1,Tenango del Valle
Jugueterías,N/A,1,Tenango del Valle
Lentes y aparatos ortopédicos,N/A,1,Tenango del Valle
Artículos de perfumería,N/A,1,Tenango del Valle
Cosméticos,N/A,1,Tenango del Valle
Artículos de joyería y relojes,N/A,1,Tenango del Valle
Juguetes y bicicletas,N/A,1,Tenango del Valle
Artículos y aparatos deportivos,N/A,1,Tenango del Valle
Regalos,N/A,1,Tenango del Valle
Artículos religiosos,N/A,1,Tenango del Valle
"Cristalería, loza y utensilios de cocina",N/A,1,Tenango del Valle
Computadoras y accesorios,N/A,1,Tenango del Valle
Teléfonos y aparatos de comunicación,N/A,1,Tenango del Valle
Artículos para la decoración de interiores,N/A,1,Tenango del Valle
"Alfombras, cortinas y tapices",N/A,1,Tenango del Valle
Lámparas y candiles,N/A,1,Tenango del Valle
Artículos decorativos de interiores,N/A,1,Tenango del Valle
Artículos usados,N/A,1,Tenango del Valle
Vidrios y espejos,N/A,1,Tenango del Valle
Artículos para limpieza,N/A,1,Tenango del Valle
Alquiler de ropa,N/A,1,Tenango del Valle
Alquiler de videocasetes y discos originales,N/A,1,Tenango del Valle
"Alquiler de mesas, sillas, vajillas y utensilios",N/A,1,Tenango del Valle
Alquiler de instrumentos musicales,N/A,1,Tenango del Valle
Alquiler de maquinaria,N/A,1,Tenango del Valle
Diseño de modas,N/A,1,Tenango del Valle
Servicios fotográficos,N/A,1,Tenango del Valle
Escritorios públicos,N/A,1,Tenango del Valle
"Fotocopiado, fax escaneo y ploteo",N/A,1,Tenango del Valle
Reparación de bicicletas,N/A,1,Tenango del Valle
Reparación de motocicletas,N/A,1,Tenango del Valle
Reparación de artículos para el hogar,N/A,1,Tenango del Valle
Reparación de artículos personales,N/A,1,Tenango del Valle
Reparación y mantenimiento de artículos de piel,N/A,1,Tenango del Valle
Reparación e instalaciones eléctricas en inmuebles,N/A,1,Tenango del Valle
Reparación de relojes y joyas,N/A,1,Tenango del Valle
Reparación de calzado,N/A,1,Tenango del Valle
Tintorerías,N/A,1,Tenango del Valle
Dentales,N/A,1,Tenango del Valle
Clínicos,N/A,1,Tenango del Valle
Radiológicos,N/A,1,Tenango del Valle
Ópticos,N/A,1,Tenango del Valle
