nombre,descripcion,path,municipio_id
Licencia de uso de suelo expedida por la Dirección de Desarrollo Urbano y Obras Públicas,Autorización de desarrollo urbano para distintos tipos de actividades comerciales,FormatodeSolicitud_obras.pdf,Tenango del Valle
Credencial de elector,Identificación oficial con fotografía,N/A,Tenango del Valle
Croquis de localización del establecimiento,Ubicación grafica del establecimiento,N/A,Tenango del Valle
En caso de venta de alimentos presentar aviso de funcionamiento de Regulación sanitaria,Hacer del conocimiento de la autoridad sanitaria de la apertura de venta de alimentos para la verificación correspondiente,N/A,Tenango del Valle
3 fotografías del establecimiento comercial,lustración grafica de cómo se encuentra el establecimiento,N/A,Tenango del Valle
Visto bueno de Protección Civil,Documento donde hace constar que cuenta con todas las medidas de seguridad,N/A,Tenango del Valle
En caso de sociedad (empresa) presentar copia de acta constitutiva,Documento necesario y obligatorio para la formación legal de una organización o sociedad,N/A,Tenango del Valle
En caso de delegación anexar visto bueno de los delegados,Documento que hace constar que existe el establecimiento en la comunidad,N/A,Tenango del Valle
Formato único de apertura,Formato que debe requisitar el usuario al momento de tramitar la expedición de su licencia de funcionamiento,FORMATO UNICO DE APERTURA.doc,Tenango del Valle
Formato único de apertura descargable,,http://tenangodelvalle.gob.mx/Dependencias/docs/2015/FormatoSARE.pdf,Tenango del Valle
"Cédula de zonificación, si ya se cuenta con ella anexarla, en caso de no contar con ella, esta se tramitara mediante el mismo formato único de apertura (fua)","Instrumento administrativo que precisa los usos del suelo, densidades, intensidades de aprovechamiento y ocupación",N/A,Tenango del Valle
Comprobante de domicilio,"Documento que haga constar donde vive el usuario (recibo de luz, teléfono, predial, agua) vigente",N/A,Tenango del Valle
Carta compromiso de protección civil,Documento que compromete a contar con todas las medidas de seguridad (solo se firmara al momento de que su licencia sea aprobada y al momento de acudir por la respuesta de su trámite),N/A,Tenango del Valle
Contar con licencia de funcionamiento vigente,Permiso otorgado por la autoridad municipal que corresponda al año en curso,N/A,Tenango del Valle
Cumplir con los horarios establecidos en bando municipal vigente en la entidad,Respetar horarios que establece el bando municipal al año que corresponda de acuerdo con el giro de cada establecimiento,N/A,Tenango del Valle
Que el giro corresponda a lo autorizado en licencia comercial,El permiso que otorga la autoridad municipal debe coincidir tanto en la licencia como en lo que vende el establecimiento,N/A,Tenango del Valle
Acta de verificación,Formato para verificar e inspeccionar si cuenta con el permiso correspondiente para funcionar,N/A,Tenango del Valle
Solicitud por escrito,Formato libre que signa el propietario de cualquier establecimiento para solicitar la apertura de algún establecimiento comercial,N/A,Tenango del Valle
Contrato de arrendamiento,Documento celebrado entre dos partes uno como arrendador y el otro como arrendatario para hacer uso de un bien inmueble ,N/A,Tenango del Valle
Escritura pública,Documento público por el cual una persona acredita la propiedad de un bien inmueble,N/A,Tenango del Valle
Croquis de ubicación del establecimiento,Ubicación grafica del establecimiento,N/A,Tenango del Valle
Tres fotografías una del exterior y dos del interior,Ilustración grafica de cómo se encuentra el establecimiento,N/A,Tenango del Valle
En caso de venta de alimentos presentar aviso de funcionamiento de regulación sanitaria;,Hacer del conocimiento de la autoridad sanitaria de la apertura de venta de alimentos para la verificación correspondiente,N/A,Tenango del Valle
En caso de delegación municipal presentar visto bueno o aviso a los delegados,Documento que hace constar que existe el establecimiento en la comunidad,N/A,Tenango del Valle
Copia del acta constitutiva (personas morales),Documento necesario y obligatorio para la formación legal de una organización o sociedad,N/A,Tenango del Valle
Copia de la identificación oficial del representante legal (personas morales),Identificación oficial con fotografía,N/A,Tenango del Valle
Poder notarial (en caso de no establecerse el nombramiento en el acta constitutiva) (personas morales),"Documento que otorgan empresas a sus gestores por medio de un notario público para poder realizar todo tipo de trámites, cobranzas, pleitos legales etc.",N/A,Tenango del Valle
"En caso de venta de alcohol en botella cerrada para el consumo inmediato o al copeo, se requiere del dictamen de factibilidad emitido por el consejo rector sanitario","Documento emitido por el Consejo Rector de Impacto Sanitario, que otorgan después de haber acreditado los requisitos que solicitan para seguir en función, este documento permite realizar el alta o refrendo a los giros que en este caso intervienen",N/A,Tenango del Valle
Recibo de pago anterior y/o licencia de funcionamiento anterior,"Documentos que debe presentar el propietario para realizar el refrendo de su licencia de funcionamiento, obtenidos el año anterior",N/A,Tenango del Valle
"Para el caso de semifijo, solo se realiza el cambio de propietario por fallecimiento: Copia del acta de función del ex propietario; Copia de la identificación oficial del nuevo propietario; Licencia; Presentar recibo al corriente","Documento que acredita el deceso de una persona, identificación oficial, permiso emitido por la autoridad municipal, recibo de pago que corresponda al año en curso",N/A,Tenango del Valle
Para el caso de establecidos: Copia de la licencia anterior al corriente endosada por el anterior propietario; Copia de identificaciones oficiales del anterior y nuevo propietario,"Documento permiso que otorga la autoridad municipal, que cuenta con un movimiento de cambio de propietario, firmado por el anterior y nuevo propietario, anexo con las identificaciones oficiales de ambos",N/A,Tenango del Valle
Licencia original anterior al corriente,Permiso otorgado por la autoridad municipal que sea del año anterior inmediato al actual,N/A,Tenango del Valle
Solicitud firmada por el propietario,Documento o memorial a través del cual se solicita la Licencia de Construcción.,N/A,Tenango del Valle
Acreditar la propiedad o posesión del inmueble,Documento en el que se manifieste quine es el propietario o posesionario del inmueble motivo del trámite.,N/A,Tenango del Valle
Croquis de localización del predio,Conjunto de referencias  en las que se manifiesta entre  que calles se encuentra localizado un inmueble.,N/A,Tenango del Valle
Identificación Oficial,Documentos con los que una persona física puede acreditar su identidad.,N/A,Tenango del Valle
Dictamen de impacto regional (en su caso),"Instrumento legal, por el cual se establece un tratamiento normativo integral para el uso o aprovechamiento de un determinado predio o inmueble, que por sus características produce un impacto significativo sobre la infraestructura y equipamiento urbanos y servicios públicos previstos para una región o para un centro de población, en relación con su entorno regional, a fin de prevenir y mitigar, en su caso, los efectos negativos que pudiera ocasionar.",N/A,Tenango del Valle
Recibo del pago predial actualizado,"El impuesto predial es un gravamen que deben pagar todos los propietarios de inmuebles con destino comercial, industrial, para vivienda, entre otros.",N/A,Tenango del Valle
"Memoria descriptiva, que contendrá las características físicas del predio o inmueble, de la superficie, accesos viales, colindancias y nombre de las calles circundantes, así como los procesos de producción o servicios, en su caso.",Es un documento que reviste el carácter de declaración jurada y por lo tanto debe presentarse en forma completa.,N/A,Tenango del Valle
Croquis de localización del predio con medidas y colindancias,"Conjunto de referencias  en las que se manifiesta entre  que calles se encuentra localizado un inmueble, que deberá contener cueles son las colindancias que tiene el predio ",N/A,Tenango del Valle
Plano descriptivo del anteproyecto arquitectónico,Es el dibujo que plasma el acomodo de los locales y distribución que va a ocupar una edificación ,N/A,Tenango del Valle
"Opinión favorable emitida por la dependencia municipal encargada del desarrollo urbano, quien escuchara a su Comisión de Planeación para el Desarrollo Municipal","Es la opinión emitida por  organismo público descentralizado con personalidad jurídica y patrimonio propio, creado por decreto del ejecutivo estatal y por ley del congreso local; quien es el encargado de promover y coordinar la formulación, instrumentación y evaluación del Plan Municipal de Desarrollo. Además, es el mecanismo más adecuado de participación y decisión entre las comunidades y el gobierno municipal, así como de coordinación con los gobiernos estatal y federal para acordar y realizar acciones en materia de desarrollo.",N/A,Tenango del Valle
Documento de Acreditación de agua potable y drenaje,"Es la autorización emitida por el OPDAPAS por el Organismo Público Descentralizado de Agua Potable Alcantarillado y Saneamiento, del Municipio.",N/A,Tenango del Valle
Planos arquitectónicos y estructurales firmados por el perito (2 copias de cada uno),"Es la representación grafica de la futura obra, añadiendo elementos que permiten su visualización. en el se ven elementos de uso diario, camas, muebles, cocina, o sea establece disposición de futuro mobiliario y define áreas específicas de la vivienda o edificio a construir.",N/A,Tenango del Valle
Cédula de perito vigente,"Documento oficial que acredita a una persona como experto, hábil o entendido en una ciencia o arte.",N/A,Tenango del Valle
Alineamiento oficial,"Es la traza sobre el terreno que limita el predio respectivo con la vía pública en uso o con la futura vía pública, indicando restricciones o afectaciones de carácter urbano que señale la Ley de Desarrollo Urbano y su Reglamento.",N/A,Tenango del Valle
Liberación del predio por parte del I.N.A.H. (en su caso),"Es el documento mediante el cual el Instituto Nacional de Antropología e Historia INAH, autoriza que en un inmueble se puedan desarrollar ciertas actividades encaminadas a la construcción, cabe señalar que no en todos los casos es necesario.",N/A,Tenango del Valle
"Croquis de la construcción existente, área a demoler",Es el dibujo en donde se plasma la construcción sobre la cual se va a llevar acabo la demolición.,N/A,Tenango del Valle
Memoria y programa del procedimiento respectivo,"Consiste en el conjunto de Planos estructurales y desarrollo de los cálculos de cada elemento de una construcción detallando secciones, espesores, tipo de armado, etc.",N/A,Tenango del Valle
Autorización de la conexión y recibo de derechos ante OPDAPAS o CFE (en su caso),"Es la autorización emitida por el OPDAPAS por el Organismo Público Descentralizado de Agua Potable Alcantarillado y Saneamiento, del Municipio.",N/A,Tenango del Valle
"Planos arquitectónicos, en los que se indiquen los pisos, departamentos, viviendas o locales que serán áreas privativas o del dominio exclusivo de los condominios, los elementos comunes de la construcción y las áreas de uso común del predio, así como tabla de indivisos y memoria descriptiva de las instalaciones.","Es el documento que se caracteriza por representar arquitectura, sea esta como detalle arquitectónico o como espacio arquitectónico. Puede ser expresado en planta, alzado, sección y perspectiva.",N/A,Tenango del Valle
Reglamento interior del condominio,Norma Jurídica que regula las actividades al interior del condominio ,N/A,Tenango del Valle
"Croquis, señalando ubicación, superficie y tipo de material",Es el dibujo en donde se plasma la construcción sobre la cual se va a llevar acabo el trabajo.,N/A,Tenango del Valle
Carta Compromiso,Documento mediante el cual el titular de la autorización se compromete a realizar las reparaciones conforme a lo estipulado en la licencia. ,N/A,Tenango del Valle
Planos y memoria de cálculo de la estructura sustentante,"Consiste en el conjunto de Planos estructurales y desarrollo de los cálculos de cada elemento de una construcción detallando secciones, espesores, tipo de armado, etc.",N/A,Tenango del Valle
Proyecto Ejecutivo (incluyendo memoria de cálculo),"Consiste en el conjunto de Planos estructurales y desarrollo de los cálculos de cada elemento de una construcción detallando secciones, espesores, tipo de armado, etc.",N/A,Tenango del Valle
Autorización de Condominio,Autorización emitida por la Secretaria de Desarrollo Urbano del Gobierno del Estado de México.,N/A,Tenango del Valle
Registro Federal de Contribuyentes (RFC.),"Es una clave alfanumérica que se compone de 13 caracteres, emitida por el Servicio de Administración Tributaria.",N/A,Tenango del Valle
