nombre,SARE,descripcion,municipio_id
SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,1,"Dedicada a proporcionar servicios de apoyo a las actividades agropecuarias y forestales, como servicios de administración, alquiler de maquinaria y equipo con o sin operador utilizado en las actividades agropecuarias y forestales, servicios agrícolas, antes, durante y después de la cosecha ",Toluca
VENTA AL POR MENOR POR COMISIÓN Y CONSIGNACIÓN  ,1,"Dedicada a la venta al por menor de productos de consumo final, propiedad de terceros a cambio de una comisión ",Toluca
SERVICIO DE MUDANZAS,1,"Dedicada principalmente a proporcionar el servicio de mudanzas (transporte de enseres domésticos, equipo de oficina y comercial), hecho por lo regular en camiones, independientemente de la distancia recorrida ",Toluca
SERVICIO DE TAXI Y LIMUSINAS,1,Limusinas - Dedicada principalmente  a proporcionar el servicio de  transporte de pasajeros en limusinas y carruajes ,Toluca
TRANSPORTE ESCOLAR Y DE PERSONAL,1,"Dedicada principalmente a proporcionar el servicio de  transporte de escolares (de su casa a la escuela y viceversa), de empleados y obreros (de algún sitio establecido al centro laboral y viceversa) ",Toluca
ALQUILER DE AUTOBUSES CON CHOFER,1,Dedicada principalmente a proporcionar el servicio de alquiler de autobuses con chofer para el transporte de personas ,Toluca
ALQUILER DE TRANSPORTE TERRESTRE DE PASAJEROS,1,"Dedicada principalmente a proporcionar el servicio de  alquiler de transporte de pasajeros en camiones de redilas, en vehículos de tracción humana o animal ",Toluca
TRANSPORTE TURÍSTICO ,1,"Dedicada principalmente a proporcionar el servicio de  transporte turístico por tierra, agua o aire  Una característica general de este tipo de transporte es que el lugar de salida y llegada de los pasajeros es el mismo y la mayoría de las veces son recorridos de ida y vuelta en un solo día ",Toluca
TRANSPORTE TURÍSTICO POR TIERRA ,1,"Dedicada principalmente a proporcionar el servicio de  transporte turístico terrestre, carruajes, calandrias y autobuses ",Toluca
SERVICIOS DE AGENCIAS ADUANALES ,1,Dedicada a proporcionar el servicio de tramitación y asesoría para la importación y exportación de mercancías ,Toluca
ASESORÍA EN INVERSIONES,1,Dedicada a proporcionar servicios de asesoría en inversiones en el mercado de valores ,Toluca
COMPAÑÍA AFIANZADORA,1,"Dedicada a avalar y responder a títulos onerosos por acciones de responsabilidad penal o civil del afianzado, estos títulos constituyen un seguro, garantía o cobertura en caso de incumplimiento del afianzado ",Toluca
AGENTES AJUSTADORES Y GESTORES DE SEGUROS Y FIANZAS,1,"Dedicada a la colocación o venta directa al público de contratos o pólizas de seguros o fianzas, y a la realización de ajustes y gestiones del seguro en caso de siniestro ",Toluca
INMOBILIARIAS Y CORREDORES DE BIENES RAÍCES,1,Dedicadas a la compra-venta de bienes raíces y al alquiler de inmuebles en nombre de terceros ,Toluca
SERVICIOS DE ALQUILER DE INMUEBLES,1,"Dedicada a proporcionar servicios como cobro de rentas, pago de impuestos, promoción, consultoría inmobiliaria, supervisión y contratación de mantenimiento y seguridad para el buen funcionamiento de los inmuebles ",Toluca
ALQUILER DE AUTOMÓVILES CON O SIN CHOFER ,1,Dedicada a proporcionar el servicio de  alquiler de automóviles con o sin chofer ,Toluca
"ALQUILER DE CAMIONES DE CARGA, AUTOBUSES Y REMOLQUES CON O SIN CHOFER ",1,"Dedicada a proporcionar el servicio de  alquiler de autobuses, minibuses, camiones de carga, remolques, trailers y tractocamiones ",Toluca
"ALQUILER DE AUTOBUSES, MINIBUSES Y REMOLQUES CON O SIN CHOFER ",1,"Dedicada a proporcionar el servicio de  alquiler de autobuses, minibuses y remolques con o sin chofer ",Toluca
ALQUILER DE APARATOS ELÉCTRICOS Y ELECTRÓNICOS PARA EL HOGAR Y PERSONALES,1,"Dedicada a proporcionar el servicio de  alquiler de aparatos eléctricos y electrónicos para el hogar como: televisores, equipos modulares, lavadoras, secadoras y  refrigeradores ",Toluca
ALQUILER DE MAQUINARIA PARA CONSTRUCCIÓN MINERÍA Y ACTIVIDADES FORESTALES,1,"Dedicada a proporcionar el servicio de  alquiler de maquinaria con o sin operador para la construcción, la minería y las actividades forestales, como cribadoras, demoledoras, excavadoras, mezcladoras, revolvedoras, perforadoras, barrenadoras, grúas para la construcción, sierras para corte de árboles y transportadores de bienes silvicolas ",Toluca
ALQUILER DE TRANSPORTE AÉREO,1,Dedicada a proporcionar el servicio de  alquiler de transporte aéreo con o sin operador  ,Toluca
