estado,municipio,twitter
Aguascalientes,Aguascalientes,@MunicipioAgs
Aguascalientes,Jesús María,@Jesus_Maria_
Baja California,Ensenada,@gilbertohiratac
Baja California,Mexicali,@XXIayuntamiento
Baja California,Tecate,@TecateAyto
Baja California,Tijuana,@AytoTijuana
Baja California Sur,La Paz,@GobiernoDeLaPaz
Baja California Sur,Los Cabos,@hxalc
Campeche,Campeche,@Sec_Ayunt_Camp
Campeche,Carmen,@ayunttocarmen
Coahuila de Zaragoza,Matamoros,@MatamorosGob
Coahuila de Zaragoza,Monclova,@Presidencia_Mva
Coahuila de Zaragoza,Piedras Negras,@MpioPNegras
Coahuila de Zaragoza,Ramos Arizpe,@TuRamosArizpe
Coahuila de Zaragoza,Saltillo,@SaltilloGob
Coahuila de Zaragoza,Torreón,@AyuntTorreon
Colima,Colima,@ColimaMunicipio
Colima,Tecomán,@AytoTecoman
Colima,Villa de Álvarez,@villadealvarez
Chiapas,Tapachula,@gmtapa
Chiapas,Tuxtla Gutiérrez,@MpioTuxtla
Chihuahua,Chihuahua,@MunicipioCUU
Chihuahua,Juárez,@MunicipioJuarez
Distrito Federal,Azcapotzalco,@AzcapotzalcoDF
Distrito Federal,Coyoacán,@Del_Coyoacan
Distrito Federal,Cuajimalpa de Morelos,@CEADDE
Distrito Federal,Gustavo A. Madero,@gamsocial
Distrito Federal,Iztacalco,@iztacalcoXti
Distrito Federal,Iztapalapa,@Del_Iztapalapa
Distrito Federal,La Magdalena Contreras,@DelegacionMC
Distrito Federal,Milpa Alta,@Del_MilpaAlta
Distrito Federal,Álvaro Obregón,@daogobmx
Distrito Federal,Tlalpan,@DTlalpan
Distrito Federal,Xochimilco,@DelegacionXochi
Distrito Federal,Benito Juárez,@DelegacionBJ
Distrito Federal,Cuauhtémoc,@E_CuauhtemocMX
Distrito Federal,Miguel Hidalgo,@delegacionMH
Distrito Federal,Venustiano Carranza,@D_VCarranza
Durango,Durango,@AlcaldiaDgo
Durango,Gómez Palacio,@gp_dgo
Durango,Lerdo,@HASLDT
